plan_id,case_id,feature_id,method,feature_name,material,recognized_geometry,selected_tool_or_holder,operation_sequence,cutting_parameters,manufacturing_reasoning_notes,plan_text,cam_pass,expert_acceptable,initial_graph_violation,final_unresolved_failure
F00_C01_vanilla,F00_C01,F00,Vanilla MLLM,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,standard end mill,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F00_C01 (wide-angle drafted groove), the Vanilla MLLM plan selects standard end mill; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F00_C01_rag,F00_C01,F00,RAG-based Planner,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,retrieved template: form-groove/full-profile forming; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F00_C01 (wide-angle drafted groove), the RAG-based Planner plan selects form-groove tool; proposes retrieved template: form-groove/full-profile forming; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F00_C01_react,F00_C01,F00,Standard ReAct Agent,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,nearby catalog tool,stepwise reasoning route: form-groove/full-profile forming with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F00_C01 (wide-angle drafted groove), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: form-groove/full-profile forming with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
F00_C01_kgmcf,F00_C01,F00,KGMCF (Ours),wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F00_C01 (wide-angle drafted groove), the KGMCF (Ours) plan selects form-groove tool; proposes Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C02_vanilla,F00_C02,F00,Vanilla MLLM,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,oversized boring bar,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F00_C02 (wide-angle drafted groove), the Vanilla MLLM plan selects oversized boring bar; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation; invalid CAM generation.",No,No,Yes,Yes
F00_C02_rag,F00_C02,F00,RAG-based Planner,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,retrieved similar standard tool,retrieved template: form-groove/full-profile forming; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F00_C02 (wide-angle drafted groove), the RAG-based Planner plan selects retrieved similar standard tool; proposes retrieved template: form-groove/full-profile forming; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C02_react,F00_C02,F00,Standard ReAct Agent,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,nearby catalog tool,stepwise reasoning route: form-groove/full-profile forming with parameter checks,reduced feed/depth after reasoning; coolant considered,performs iterative checks but some geometry-to-CAM mappings remain ambiguous,"For F00_C02 (wide-angle drafted groove), the Standard ReAct Agent plan selects nearby catalog tool; proposes stepwise reasoning route: form-groove/full-profile forming with parameter checks; uses reduced feed/depth after reasoning; coolant considered. performs iterative checks but some geometry-to-CAM mappings remain ambiguous. Potential issues recorded: expert hard veto; graph-constraint violation; holder collision risk.",No,No,Yes,Yes
F00_C02_kgmcf,F00_C02,F00,KGMCF (Ours),wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints,"physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified",uses graph constraints and semantic traceback to reduce physical hallucination,"For F00_C02 (wide-angle drafted groove), the KGMCF (Ours) plan selects form-groove tool; proposes Aero-MPKG-grounded route: form-groove/full-profile forming with feature-specific constraints; uses physics-aware parameters; tool access, overcut, holder clearance and coolant constraints verified. uses graph constraints and semantic traceback to reduce physical hallucination. No major manufacturability risk identified in the aligned validation records.",Yes,Yes,No,No
F00_C03_vanilla,F00_C03,F00,Vanilla MLLM,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,generic ball-end tool,generic roughing and finishing route based mainly on feature name,default cutting parameters; coolant unspecified,limited grounding in tool accessibility and physical constraints,"For F00_C03 (wide-angle drafted groove), the Vanilla MLLM plan selects generic ball-end tool; proposes generic roughing and finishing route based mainly on feature name; uses default cutting parameters; coolant unspecified. limited grounding in tool accessibility and physical constraints. Potential issues recorded: expert hard veto; graph-constraint violation.",No,No,Yes,Yes
F00_C03_rag,F00_C03,F00,RAG-based Planner,wide-angle drafted groove,Ti-6Al-4V,25° drafted sidewall with R2/R1 transition,form-groove tool,retrieved template: form-groove/full-profile forming; local adjustment incomplete,moderate parameters from retrieved cases; coolant partially specified,uses similar-case knowledge but may not fully verify boundary-specific constraints,"For F00_C03 (wide-angle drafted groove), the RAG-based Planner plan selects form-groove tool; proposes retrieved template: form-groove/full-profile forming; local adjustment incomplete; uses moderate parameters from retrieved cases; coolant partially specified. uses similar-case knowledge but may not fully verify boundary-specific constraints. No major manufacturability risk identified in the aligned validation records.",Yes,No,No,No
